player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
PJ Cummins (AUSTRALIA),10,1,73,1,7.3,73,60,v South Africa,Port Elizabeth,23/10/11
XJ Doherty (AUSTRALIA),10,0,43,1,4.3,43,60,v South Africa,Port Elizabeth,23/10/11
MG Johnson (AUSTRALIA),10,0,56,0,5.6,-0,-0,v South Africa,Port Elizabeth,23/10/11
SPD Smith (AUSTRALIA),6,0,24,1,4,24,36,v South Africa,Port Elizabeth,23/10/11
SR Watson (AUSTRALIA),3.5,0,20,0,5.21,-0,-0,v South Africa,Port Elizabeth,23/10/11
VR Aaron (INDIA),3,0,19,1,6.33,19,18,v England,Kolkata,25/10/11
R Ashwin (INDIA),9,0,28,3,3.11,9.33,18,v England,Kolkata,25/10/11
RA Jadeja (INDIA),8,0,33,4,4.12,8.25,12,v England,Kolkata,25/10/11
P Kumar (INDIA),5,0,34,0,6.8,-0,-0,v England,Kolkata,25/10/11
SK Raina (INDIA),4,0,9,1,2.25,9,24,v England,Kolkata,25/10/11
MK Tiwary (INDIA),5,0,28,1,5.6,28,30,v England,Kolkata,25/10/11
R Vinay Kumar (INDIA),3,0,21,0,7,-0,-0,v England,Kolkata,25/10/11
DE Bollinger (AUSTRALIA),10,1,43,0,4.3,-0,-0,v South Africa,Durban,28/10/11
MJ Clarke (AUSTRALIA),1,0,9,0,9,-0,-0,v South Africa,Durban,28/10/11
PJ Cummins (AUSTRALIA),10,0,49,1,4.9,49,60,v South Africa,Durban,28/10/11
XJ Doherty (AUSTRALIA),9,0,33,2,3.66,16.5,27,v South Africa,Durban,28/10/11
MG Johnson (AUSTRALIA),10,0,37,2,3.7,18.5,30,v South Africa,Durban,28/10/11
SR Watson (AUSTRALIA),10,0,42,0,4.2,-0,-0,v South Africa,Durban,28/10/11
VR Aaron (INDIA),9,0,47,2,5.22,23.5,27,v West Indies,Cuttack,29/11/11
R Ashwin (INDIA),10,1,30,1,3,30,60,v West Indies,Cuttack,29/11/11
RA Jadeja (INDIA),10,0,42,1,4.2,42,60,v West Indies,Cuttack,29/11/11
SK Raina (INDIA),5,0,20,1,4,20,30,v West Indies,Cuttack,29/11/11
RG Sharma (INDIA),2,0,8,0,4,-0,-0,v West Indies,Cuttack,29/11/11
R Vinay Kumar (INDIA),6,0,27,1,4.5,27,36,v West Indies,Cuttack,29/11/11
UT Yadav (INDIA),8,1,33,2,4.12,16.5,24,v West Indies,Cuttack,29/11/11
VR Aaron (INDIA),10,0,66,0,6.6,-0,-0,v West Indies,Visakhapatnam,02/12/11
R Ashwin (INDIA),10,0,74,1,7.4,74,60,v West Indies,Visakhapatnam,02/12/11
RA Jadeja (INDIA),9,2,39,2,4.33,19.5,27,v West Indies,Visakhapatnam,02/12/11
SK Raina (INDIA),1,0,3,0,3,-0,-0,v West Indies,Visakhapatnam,02/12/11
R Vinay Kumar (INDIA),10,2,43,2,4.3,21.5,30,v West Indies,Visakhapatnam,02/12/11
UT Yadav (INDIA),10,0,38,3,3.8,12.66,20,v West Indies,Visakhapatnam,02/12/11
R Ashwin (INDIA),10,0,33,1,3.3,33,60,v West Indies,Ahmedabad,05/12/11
RA Jadeja (INDIA),10,1,37,0,3.7,-0,-0,v West Indies,Ahmedabad,05/12/11
A Mithun (INDIA),7,0,47,1,6.71,47,42,v West Indies,Ahmedabad,05/12/11
SK Raina (INDIA),6,0,27,0,4.5,-0,-0,v West Indies,Ahmedabad,05/12/11
R Vinay Kumar (INDIA),8,1,39,2,4.87,19.5,24,v West Indies,Ahmedabad,05/12/11
UT Yadav (INDIA),9,1,75,1,8.33,75,54,v West Indies,Ahmedabad,05/12/11
R Ashwin (INDIA),10,0,59,1,5.9,59,60,v West Indies,Indore,08/12/11
RA Jadeja (INDIA),10,2,34,3,3.4,11.33,20,v West Indies,Indore,08/12/11
A Mithun (INDIA),4,0,37,0,9.25,-0,-0,v West Indies,Indore,08/12/11
SK Raina (INDIA),6.2,0,17,2,2.68,8.5,19,v West Indies,Indore,08/12/11
R Sharma (INDIA),10,0,43,3,4.3,14.33,20,v West Indies,Indore,08/12/11
RG Sharma (INDIA),5,0,39,0,7.8,-0,-0,v West Indies,Indore,08/12/11
R Vinay Kumar (INDIA),4,0,34,0,8.5,-0,-0,v West Indies,Indore,08/12/11
RA Jadeja (INDIA),10,0,62,3,6.2,20.66,20,v West Indies,Chennai,11/12/11
V Kohli (INDIA),1,0,11,0,11,-0,-0,v West Indies,Chennai,11/12/11
A Mithun (INDIA),7,1,32,2,4.57,16,21,v West Indies,Chennai,11/12/11
IK Pathan (INDIA),9,1,42,2,4.66,21,27,v West Indies,Chennai,11/12/11
SK Raina (INDIA),6.1,0,24,1,3.89,24,37,v West Indies,Chennai,11/12/11
R Sharma (INDIA),10,0,45,1,4.5,45,60,v West Indies,Chennai,11/12/11
MK Tiwary (INDIA),1,0,15,0,15,-0,-0,v West Indies,Chennai,11/12/11
R Ashwin (INDIA),5,0,48,0,9.6,-0,-0,v Australia,Melbourne,05/02/12
DT Christian (AUSTRALIA),5,0,21,1,4.2,21,30,v India,Melbourne,05/02/12
MJ Clarke (AUSTRALIA),2,0,11,0,5.5,-0,-0,v India,Melbourne,05/02/12
XJ Doherty (AUSTRALIA),7,0,36,2,5.14,18,21,v India,Melbourne,05/02/12
RJ Harris (AUSTRALIA),5,0,28,0,5.6,-0,-0,v India,Melbourne,05/02/12
RA Jadeja (INDIA),2.4,0,41,0,15.37,-0,-0,v Australia,Melbourne,05/02/12
V Kohli (INDIA),1,0,4,0,4,-0,-0,v Australia,Melbourne,05/02/12
P Kumar (INDIA),7,0,35,0,5,-0,-0,v Australia,Melbourne,05/02/12
CJ McKay (AUSTRALIA),4.4,0,20,4,4.28,5,7,v India,Melbourne,05/02/12
SK Raina (INDIA),1,0,4,0,4,-0,-0,v Australia,Melbourne,05/02/12
R Sharma (INDIA),6.2,0,44,1,6.94,44,38,v Australia,Melbourne,05/02/12
RG Sharma (INDIA),2,0,17,1,8.5,17,12,v Australia,Melbourne,05/02/12
MA Starc (AUSTRALIA),6,0,33,2,5.5,16.5,18,v India,Melbourne,05/02/12
R Vinay Kumar (INDIA),7,0,21,3,3,7,14,v Australia,Melbourne,05/02/12
R Ashwin (INDIA),10,1,32,3,3.2,10.66,20,v Sri Lanka,Perth,08/02/12
RA Jadeja (INDIA),10,0,41,1,4.1,41,60,v Sri Lanka,Perth,08/02/12
Z Khan (INDIA),10,1,44,2,4.4,22,30,v Sri Lanka,Perth,08/02/12
P Kumar (INDIA),10,0,54,0,5.4,-0,-0,v Sri Lanka,Perth,08/02/12
R Vinay Kumar (INDIA),10,1,56,1,5.6,56,60,v Sri Lanka,Perth,08/02/12
DT Christian (AUSTRALIA),8,1,47,2,5.87,23.5,24,v Sri Lanka,Perth,10/02/12
MJ Clarke (AUSTRALIA),2,0,9,1,4.5,9,12,v Sri Lanka,Perth,10/02/12
XJ Doherty (AUSTRALIA),10,0,24,2,2.4,12,30,v Sri Lanka,Perth,10/02/12
RJ Harris (AUSTRALIA),10,0,43,1,4.3,43,60,v Sri Lanka,Perth,10/02/12
CJ McKay (AUSTRALIA),10,0,50,1,5,50,60,v Sri Lanka,Perth,10/02/12
MA Starc (AUSTRALIA),9.5,0,50,2,5.08,25,29.5,v Sri Lanka,Perth,10/02/12
R Ashwin (INDIA),8,0,47,0,5.87,-0,-0,v Australia,Adelaide,12/02/12
DT Christian (AUSTRALIA),10,0,45,0,4.5,-0,-0,v India,Adelaide,12/02/12
XJ Doherty (AUSTRALIA),9,0,51,2,5.66,25.5,27,v India,Adelaide,12/02/12
RJ Harris (AUSTRALIA),10,0,57,1,5.7,57,60,v India,Adelaide,12/02/12
DJ Hussey (AUSTRALIA),3,0,13,0,4.33,-0,-0,v India,Adelaide,12/02/12
RA Jadeja (INDIA),10,0,50,0,5,-0,-0,v Australia,Adelaide,12/02/12
Z Khan (INDIA),10,0,46,1,4.6,46,60,v Australia,Adelaide,12/02/12
CJ McKay (AUSTRALIA),9.4,1,53,3,5.48,17.66,19.3,v India,Adelaide,12/02/12
RG Sharma (INDIA),2,0,15,0,7.5,-0,-0,v Australia,Adelaide,12/02/12
MA Starc (AUSTRALIA),8,0,49,0,6.12,-0,-0,v India,Adelaide,12/02/12
R Vinay Kumar (INDIA),10,1,58,2,5.8,29,30,v Australia,Adelaide,12/02/12
UT Yadav (INDIA),10,1,49,2,4.9,24.5,30,v Australia,Adelaide,12/02/12
R Ashwin (INDIA),10,1,30,2,3,15,30,v Sri Lanka,Adelaide,14/02/12
RA Jadeja (INDIA),10,0,58,0,5.8,-0,-0,v Sri Lanka,Adelaide,14/02/12
IK Pathan (INDIA),9,0,38,1,4.22,38,54,v Sri Lanka,Adelaide,14/02/12
RG Sharma (INDIA),2,0,10,0,5,-0,-0,v Sri Lanka,Adelaide,14/02/12
R Vinay Kumar (INDIA),10,1,46,3,4.6,15.33,20,v Sri Lanka,Adelaide,14/02/12
UT Yadav (INDIA),9,0,51,0,5.66,-0,-0,v Sri Lanka,Adelaide,14/02/12
DT Christian (AUSTRALIA),5.1,0,32,0,6.19,-0,-0,v Sri Lanka,Sydney,17/02/12
XJ Doherty (AUSTRALIA),2,0,18,0,9,-0,-0,v Sri Lanka,Sydney,17/02/12
B Lee (AUSTRALIA),7,0,42,1,6,42,42,v Sri Lanka,Sydney,17/02/12
CJ McKay (AUSTRALIA),6,1,23,1,3.83,23,36,v Sri Lanka,Sydney,17/02/12
MA Starc (AUSTRALIA),4,0,32,0,8,-0,-0,v Sri Lanka,Sydney,17/02/12
DT Christian (AUSTRALIA),6,0,27,1,4.5,27,36,v India,Brisbane,19/02/12
XJ Doherty (AUSTRALIA),10,0,29,0,2.9,-0,-0,v India,Brisbane,19/02/12
BW Hilfenhaus (AUSTRALIA),9.3,1,33,5,3.47,6.6,11.4,v India,Brisbane,19/02/12
Z Khan (INDIA),10,0,46,1,4.6,46,60,v Australia,Brisbane,19/02/12
B Lee (AUSTRALIA),10,0,49,3,4.9,16.33,20,v India,Brisbane,19/02/12
IK Pathan (INDIA),10,0,61,3,6.1,20.33,20,v Australia,Brisbane,19/02/12
SK Raina (INDIA),10,0,44,0,4.4,-0,-0,v Australia,Brisbane,19/02/12
RG Sharma (INDIA),3,0,17,1,5.66,17,18,v Australia,Brisbane,19/02/12
MA Starc (AUSTRALIA),8,0,36,1,4.5,36,48,v India,Brisbane,19/02/12
R Vinay Kumar (INDIA),10,0,60,0,6,-0,-0,v Australia,Brisbane,19/02/12
UT Yadav (INDIA),7,0,46,0,6.57,-0,-0,v Australia,Brisbane,19/02/12
R Ashwin (INDIA),10,0,50,2,5,25,30,v Sri Lanka,Brisbane,21/02/12
RA Jadeja (INDIA),10,0,43,0,4.3,-0,-0,v Sri Lanka,Brisbane,21/02/12
V Kohli (INDIA),1,0,14,0,14,-0,-0,v Sri Lanka,Brisbane,21/02/12
IK Pathan (INDIA),10,0,54,2,5.4,27,30,v Sri Lanka,Brisbane,21/02/12
SK Raina (INDIA),1,0,10,1,10,10,6,v Sri Lanka,Brisbane,21/02/12
V Sehwag (INDIA),2,0,9,0,4.5,-0,-0,v Sri Lanka,Brisbane,21/02/12
R Vinay Kumar (INDIA),8,1,48,0,6,-0,-0,v Sri Lanka,Brisbane,21/02/12
UT Yadav (INDIA),8,0,58,1,7.25,58,48,v Sri Lanka,Brisbane,21/02/12
DT Christian (AUSTRALIA),8,0,53,3,6.62,17.66,16,v Sri Lanka,Hobart,24/02/12
MJ Clarke (AUSTRALIA),5,0,27,0,5.4,-0,-0,v Sri Lanka,Hobart,24/02/12
XJ Doherty (AUSTRALIA),10,1,35,1,3.5,35,60,v Sri Lanka,Hobart,24/02/12
RJ Harris (AUSTRALIA),6,0,43,1,7.16,43,36,v Sri Lanka,Hobart,24/02/12
BW Hilfenhaus (AUSTRALIA),10,0,51,2,5.1,25.5,30,v Sri Lanka,Hobart,24/02/12
DJ Hussey (AUSTRALIA),1,0,4,0,4,-0,-0,v Sri Lanka,Hobart,24/02/12
B Lee (AUSTRALIA),9.2,0,63,0,6.75,-0,-0,v Sri Lanka,Hobart,24/02/12
R Ashwin (INDIA),10,0,45,0,4.5,-0,-0,v Australia,Sydney,26/02/12
DT Christian (AUSTRALIA),3,0,8,1,2.66,8,18,v India,Sydney,26/02/12
XJ Doherty (AUSTRALIA),7.3,0,26,2,3.46,13,22.5,v India,Sydney,26/02/12
BW Hilfenhaus (AUSTRALIA),8,1,50,2,6.25,25,24,v India,Sydney,26/02/12
DJ Hussey (AUSTRALIA),2,0,7,0,3.5,-0,-0,v India,Sydney,26/02/12
RA Jadeja (INDIA),10,0,51,1,5.1,51,60,v Australia,Sydney,26/02/12
P Kumar (INDIA),10,1,37,2,3.7,18.5,30,v Australia,Sydney,26/02/12
B Lee (AUSTRALIA),8,0,26,1,3.25,26,48,v India,Sydney,26/02/12
CJ McKay (AUSTRALIA),6,0,27,1,4.5,27,36,v India,Sydney,26/02/12
IK Pathan (INDIA),5,1,28,0,5.6,-0,-0,v Australia,Sydney,26/02/12
V Sehwag (INDIA),9,0,43,3,4.77,14.33,18,v Australia,Sydney,26/02/12
SR Watson (AUSTRALIA),5,2,9,2,1.8,4.5,15,v India,Sydney,26/02/12
UT Yadav (INDIA),6,0,39,2,6.5,19.5,18,v Australia,Sydney,26/02/12
R Ashwin (INDIA),10,0,52,0,5.2,-0,-0,v Sri Lanka,Hobart,28/02/12
RA Jadeja (INDIA),9,0,43,1,4.77,43,54,v Sri Lanka,Hobart,28/02/12
Z Khan (INDIA),9,0,61,1,6.77,61,54,v Sri Lanka,Hobart,28/02/12
P Kumar (INDIA),9,0,64,1,7.11,64,54,v Sri Lanka,Hobart,28/02/12
SK Raina (INDIA),2,0,17,0,8.5,-0,-0,v Sri Lanka,Hobart,28/02/12
V Sehwag (INDIA),3,0,24,0,8,-0,-0,v Sri Lanka,Hobart,28/02/12
UT Yadav (INDIA),8,0,56,0,7,-0,-0,v Sri Lanka,Hobart,28/02/12
DT Christian (AUSTRALIA),9,0,31,5,3.44,6.2,10.8,v Sri Lanka,Melbourne,02/03/12
XJ Doherty (AUSTRALIA),8,0,48,0,6,-0,-0,v Sri Lanka,Melbourne,02/03/12
BW Hilfenhaus (AUSTRALIA),7,0,29,0,4.14,-0,-0,v Sri Lanka,Melbourne,02/03/12
DJ Hussey (AUSTRALIA),1,0,6,0,6,-0,-0,v Sri Lanka,Melbourne,02/03/12
CJ McKay (AUSTRALIA),8,0,39,0,4.87,-0,-0,v Sri Lanka,Melbourne,02/03/12
JL Pattinson (AUSTRALIA),10,0,51,4,5.1,12.75,15,v Sri Lanka,Melbourne,02/03/12
SR Watson (AUSTRALIA),7,0,28,0,4,-0,-0,v Sri Lanka,Melbourne,02/03/12
DT Christian (AUSTRALIA),4,0,33,0,8.25,-0,-0,v Sri Lanka,Brisbane,04/03/12
XJ Doherty (AUSTRALIA),10,0,39,0,3.9,-0,-0,v Sri Lanka,Brisbane,04/03/12
BW Hilfenhaus (AUSTRALIA),4,0,46,0,11.5,-0,-0,v Sri Lanka,Brisbane,04/03/12
DJ Hussey (AUSTRALIA),8,0,43,4,5.37,10.75,12,v Sri Lanka,Brisbane,04/03/12
B Lee (AUSTRALIA),9,1,59,3,6.55,19.66,18,v Sri Lanka,Brisbane,04/03/12
JL Pattinson (AUSTRALIA),5,0,49,0,9.8,-0,-0,v Sri Lanka,Brisbane,04/03/12
SR Watson (AUSTRALIA),9.2,0,33,3,3.53,11,18.6,v Sri Lanka,Brisbane,04/03/12
DT Christian (AUSTRALIA),4,0,29,0,7.25,-0,-0,v Sri Lanka,Adelaide,06/03/12
XJ Doherty (AUSTRALIA),9,0,55,0,6.11,-0,-0,v Sri Lanka,Adelaide,06/03/12
DJ Hussey (AUSTRALIA),1,0,8,0,8,-0,-0,v Sri Lanka,Adelaide,06/03/12
B Lee (AUSTRALIA),8,1,41,1,5.12,41,48,v Sri Lanka,Adelaide,06/03/12
CJ McKay (AUSTRALIA),9,0,51,0,5.66,-0,-0,v Sri Lanka,Adelaide,06/03/12
JL Pattinson (AUSTRALIA),8,1,47,1,5.87,47,48,v Sri Lanka,Adelaide,06/03/12
SR Watson (AUSTRALIA),5.2,0,35,0,6.56,-0,-0,v Sri Lanka,Adelaide,06/03/12
DT Christian (AUSTRALIA),8,1,21,0,2.62,-0,-0,v Sri Lanka,Adelaide,08/03/12
XJ Doherty (AUSTRALIA),8,0,49,0,6.12,-0,-0,v Sri Lanka,Adelaide,08/03/12
B Lee (AUSTRALIA),8,0,59,3,7.37,19.66,16,v Sri Lanka,Adelaide,08/03/12
NM Lyon (AUSTRALIA),8,0,36,0,4.5,-0,-0,v Sri Lanka,Adelaide,08/03/12
CJ McKay (AUSTRALIA),9.5,1,28,5,2.84,5.6,11.8,v Sri Lanka,Adelaide,08/03/12
SR Watson (AUSTRALIA),7,1,13,2,1.85,6.5,21,v Sri Lanka,Adelaide,08/03/12
R Ashwin (INDIA),9,0,39,3,4.33,13,18,v Sri Lanka,Dhaka,13/03/12
RA Jadeja (INDIA),4,0,31,0,7.75,-0,-0,v Sri Lanka,Dhaka,13/03/12
P Kumar (INDIA),7,0,47,0,6.71,-0,-0,v Sri Lanka,Dhaka,13/03/12
IK Pathan (INDIA),8.1,1,32,4,3.91,8,12.2,v Sri Lanka,Dhaka,13/03/12
SK Raina (INDIA),5,0,34,0,6.8,-0,-0,v Sri Lanka,Dhaka,13/03/12
RG Sharma (INDIA),3,0,14,0,4.66,-0,-0,v Sri Lanka,Dhaka,13/03/12
R Vinay Kumar (INDIA),9,0,55,3,6.11,18.33,18,v Sri Lanka,Dhaka,13/03/12
R Ashwin (INDIA),10,0,56,1,5.6,56,60,v Bangladesh,Dhaka,16/03/12
AB Dinda (INDIA),5.2,1,38,0,7.12,-0,-0,v Bangladesh,Dhaka,16/03/12
RA Jadeja (INDIA),6,0,32,1,5.33,32,36,v Bangladesh,Dhaka,16/03/12
P Kumar (INDIA),10,0,56,3,5.6,18.66,20,v Bangladesh,Dhaka,16/03/12
IK Pathan (INDIA),9,0,61,0,6.77,-0,-0,v Bangladesh,Dhaka,16/03/12
SK Raina (INDIA),7,1,30,0,4.28,-0,-0,v Bangladesh,Dhaka,16/03/12
RG Sharma (INDIA),2,0,13,0,6.5,-0,-0,v Bangladesh,Dhaka,16/03/12
DT Christian (AUSTRALIA),6,2,12,2,2,6,18,v West Indies,Kingstown,16/03/12
XJ Doherty (AUSTRALIA),8,2,49,4,6.12,12.25,12,v West Indies,Kingstown,16/03/12
DJ Hussey (AUSTRALIA),2,0,15,0,7.5,-0,-0,v West Indies,Kingstown,16/03/12
B Lee (AUSTRALIA),7,1,25,1,3.57,25,42,v West Indies,Kingstown,16/03/12
CJ McKay (AUSTRALIA),5.2,1,22,2,4.12,11,16,v West Indies,Kingstown,16/03/12
SR Watson (AUSTRALIA),4,1,13,0,3.25,-0,-0,v West Indies,Kingstown,16/03/12
R Ashwin (INDIA),10,0,56,1,5.6,56,60,v Pakistan,Dhaka,18/03/12
AB Dinda (INDIA),8,0,47,2,5.87,23.5,24,v Pakistan,Dhaka,18/03/12
P Kumar (INDIA),10,0,77,2,7.7,38.5,30,v Pakistan,Dhaka,18/03/12
IK Pathan (INDIA),10,0,69,1,6.9,69,60,v Pakistan,Dhaka,18/03/12
YK Pathan (INDIA),5,0,30,0,6,-0,-0,v Pakistan,Dhaka,18/03/12
SK Raina (INDIA),2.2,0,15,0,6.42,-0,-0,v Pakistan,Dhaka,18/03/12
RG Sharma (INDIA),3,0,19,0,6.33,-0,-0,v Pakistan,Dhaka,18/03/12
SR Tendulkar (INDIA),1.4,0,12,0,7.2,-0,-0,v Pakistan,Dhaka,18/03/12
DT Christian (AUSTRALIA),5,0,26,0,5.2,-0,-0,v West Indies,Kingstown,18/03/12
XJ Doherty (AUSTRALIA),7.2,0,39,1,5.31,39,44,v West Indies,Kingstown,18/03/12
DJ Hussey (AUSTRALIA),3,0,13,0,4.33,-0,-0,v West Indies,Kingstown,18/03/12
B Lee (AUSTRALIA),8,1,37,1,4.62,37,48,v West Indies,Kingstown,18/03/12
CJ McKay (AUSTRALIA),8,2,16,0,2,-0,-0,v West Indies,Kingstown,18/03/12
SR Watson (AUSTRALIA),7,1,28,1,4,28,42,v West Indies,Kingstown,18/03/12
DT Christian (AUSTRALIA),2,0,11,0,5.5,-0,-0,v West Indies,Kingstown,20/03/12
XJ Doherty (AUSTRALIA),10,2,30,2,3,15,30,v West Indies,Kingstown,20/03/12
B Lee (AUSTRALIA),9.4,1,52,1,5.37,52,58,v West Indies,Kingstown,20/03/12
NM Lyon (AUSTRALIA),8,2,41,1,5.12,41,48,v West Indies,Kingstown,20/03/12
CJ McKay (AUSTRALIA),10,1,50,2,5,25,30,v West Indies,Kingstown,20/03/12
SR Watson (AUSTRALIA),10,4,30,3,3,10,20,v West Indies,Kingstown,20/03/12
XJ Doherty (AUSTRALIA),10,1,64,2,6.4,32,30,v West Indies,Gros Islet,23/03/12
BW Hilfenhaus (AUSTRALIA),10,1,43,0,4.3,-0,-0,v West Indies,Gros Islet,23/03/12
B Lee (AUSTRALIA),10,0,72,2,7.2,36,30,v West Indies,Gros Islet,23/03/12
CJ McKay (AUSTRALIA),10,1,57,1,5.7,57,60,v West Indies,Gros Islet,23/03/12
SR Watson (AUSTRALIA),10,0,55,2,5.5,27.5,30,v West Indies,Gros Islet,23/03/12
XJ Doherty (AUSTRALIA),10,0,60,2,6,30,30,v West Indies,Gros Islet,25/03/12
BW Hilfenhaus (AUSTRALIA),8.2,1,36,1,4.32,36,50,v West Indies,Gros Islet,25/03/12
B Lee (AUSTRALIA),9,3,42,3,4.66,14,18,v West Indies,Gros Islet,25/03/12
CJ McKay (AUSTRALIA),10,0,68,2,6.8,34,30,v West Indies,Gros Islet,25/03/12
SR Watson (AUSTRALIA),10,0,44,2,4.4,22,30,v West Indies,Gros Islet,25/03/12
PJ Cummins (AUSTRALIA),3,0,11,1,3.66,11,18,v Ireland,Belfast,23/06/12
BW Hilfenhaus (AUSTRALIA),4.4,1,15,0,3.21,-0,-0,v Ireland,Belfast,23/06/12
B Lee (AUSTRALIA),3,1,10,2,3.33,5,9,v Ireland,Belfast,23/06/12
PJ Cummins (AUSTRALIA),10,0,53,1,5.3,53,60,v England,Lord's,29/06/12
XJ Doherty (AUSTRALIA),10,0,50,1,5,50,60,v England,Lord's,29/06/12
B Lee (AUSTRALIA),10,1,57,1,5.7,57,60,v England,Lord's,29/06/12
CJ McKay (AUSTRALIA),10,1,43,1,4.3,43,60,v England,Lord's,29/06/12
SR Watson (AUSTRALIA),10,0,65,1,6.5,65,60,v England,Lord's,29/06/12
MJ Clarke (AUSTRALIA),2,0,13,1,6.5,13,12,v England,The Oval,01/07/12
XJ Doherty (AUSTRALIA),7.4,0,41,0,5.34,-0,-0,v England,The Oval,01/07/12
DJ Hussey (AUSTRALIA),3,0,17,0,5.66,-0,-0,v England,The Oval,01/07/12
MG Johnson (AUSTRALIA),7,0,43,0,6.14,-0,-0,v England,The Oval,01/07/12
B Lee (AUSTRALIA),10,0,58,0,5.8,-0,-0,v England,The Oval,01/07/12
CJ McKay (AUSTRALIA),10,1,42,1,4.2,42,60,v England,The Oval,01/07/12
SR Watson (AUSTRALIA),6,0,34,1,5.66,34,36,v England,The Oval,01/07/12
MJ Clarke (AUSTRALIA),5,0,17,0,3.4,-0,-0,v England,Chester-le-Street,07/07/12
BW Hilfenhaus (AUSTRALIA),9.4,0,36,0,3.72,-0,-0,v England,Chester-le-Street,07/07/12
DJ Hussey (AUSTRALIA),8.5,0,48,0,5.43,-0,-0,v England,Chester-le-Street,07/07/12
B Lee (AUSTRALIA),2.2,1,12,0,5.14,-0,-0,v England,Chester-le-Street,07/07/12
CJ McKay (AUSTRALIA),10,1,29,2,2.9,14.5,30,v England,Chester-le-Street,07/07/12
JL Pattinson (AUSTRALIA),10,1,46,0,4.6,-0,-0,v England,Chester-le-Street,07/07/12
DA Warner (AUSTRALIA),1,0,8,0,8,-0,-0,v England,Chester-le-Street,07/07/12
SR Watson (AUSTRALIA),1,0,5,0,5,-0,-0,v England,Chester-le-Street,07/07/12
MJ Clarke (AUSTRALIA),3,0,14,1,4.66,14,18,v England,Manchester,10/07/12
XJ Doherty (AUSTRALIA),5,0,34,0,6.8,-0,-0,v England,Manchester,10/07/12
BW Hilfenhaus (AUSTRALIA),5.1,0,19,1,3.67,19,31,v England,Manchester,10/07/12
CJ McKay (AUSTRALIA),6,0,27,1,4.5,27,36,v England,Manchester,10/07/12
JL Pattinson (AUSTRALIA),6,0,34,0,5.66,-0,-0,v England,Manchester,10/07/12
SPD Smith (AUSTRALIA),2,0,9,0,4.5,-0,-0,v England,Manchester,10/07/12
R Ashwin (INDIA),10,1,46,2,4.6,23,30,v Sri Lanka,Hambantota,21/07/12
Z Khan (INDIA),10,0,63,1,6.3,63,60,v Sri Lanka,Hambantota,21/07/12
PP Ojha (INDIA),6,0,44,1,7.33,44,36,v Sri Lanka,Hambantota,21/07/12
IK Pathan (INDIA),10,1,37,2,3.7,18.5,30,v Sri Lanka,Hambantota,21/07/12
V Sehwag (INDIA),4,0,20,0,5,-0,-0,v Sri Lanka,Hambantota,21/07/12
UT Yadav (INDIA),10,0,76,2,7.6,38,30,v Sri Lanka,Hambantota,21/07/12
R Ashwin (INDIA),5,1,18,1,3.6,18,30,v Sri Lanka,Hambantota,24/07/12
Z Khan (INDIA),6,0,39,0,6.5,-0,-0,v Sri Lanka,Hambantota,24/07/12
PP Ojha (INDIA),0.5,0,7,0,8.4,-0,-0,v Sri Lanka,Hambantota,24/07/12
IK Pathan (INDIA),4,0,27,0,6.75,-0,-0,v Sri Lanka,Hambantota,24/07/12
UT Yadav (INDIA),4,0,38,0,9.5,-0,-0,v Sri Lanka,Hambantota,24/07/12
R Ashwin (INDIA),10,0,50,0,5,-0,-0,v Sri Lanka,Colombo (RPS),28/07/12
AB Dinda (INDIA),10,0,76,1,7.6,76,60,v Sri Lanka,Colombo (RPS),28/07/12
Z Khan (INDIA),10,0,39,2,3.9,19.5,30,v Sri Lanka,Colombo (RPS),28/07/12
IK Pathan (INDIA),10,0,59,1,5.9,59,60,v Sri Lanka,Colombo (RPS),28/07/12
V Sehwag (INDIA),1,0,3,0,3,-0,-0,v Sri Lanka,Colombo (RPS),28/07/12
R Sharma (INDIA),8,0,45,1,5.62,45,48,v Sri Lanka,Colombo (RPS),28/07/12
RG Sharma (INDIA),1,0,4,0,4,-0,-0,v Sri Lanka,Colombo (RPS),28/07/12
R Ashwin (INDIA),10,1,46,2,4.6,23,30,v Sri Lanka,Colombo (RPS),31/07/12
AB Dinda (INDIA),6,0,28,1,4.66,28,36,v Sri Lanka,Colombo (RPS),31/07/12
Z Khan (INDIA),6,0,36,0,6,-0,-0,v Sri Lanka,Colombo (RPS),31/07/12
V Kohli (INDIA),2,0,7,0,3.5,-0,-0,v Sri Lanka,Colombo (RPS),31/07/12
IK Pathan (INDIA),6,0,27,0,4.5,-0,-0,v Sri Lanka,Colombo (RPS),31/07/12
V Sehwag (INDIA),8,1,38,1,4.75,38,48,v Sri Lanka,Colombo (RPS),31/07/12
RG Sharma (INDIA),2,0,6,0,3,-0,-0,v Sri Lanka,Colombo (RPS),31/07/12
MK Tiwary (INDIA),10,1,61,4,6.1,15.25,15,v Sri Lanka,Colombo (RPS),31/07/12
R Ashwin (INDIA),9,0,37,0,4.11,-0,-0,v Sri Lanka,Pallekele,04/08/12
AB Dinda (INDIA),7.4,0,55,2,7.17,27.5,23,v Sri Lanka,Pallekele,04/08/12
Z Khan (INDIA),9,1,53,1,5.88,53,54,v Sri Lanka,Pallekele,04/08/12
