team,score,overs,rpo,innings,result,opposition,ground,date,toss
Scotland,139/6,33.4,4.12,2,won,v Kenya,Aberdeen,2013-02-07,won
Sri Lanka,348/1,50,6.96,1,won,v India,Kingston,2013-02-07,lost
India,187,44.5,4.17,2,lost,v Sri Lanka,Kingston,2013-02-07,won
Kenya,89,37.5,2.35,1,lost,v Afghanistan,Sharjah,2013-02-10,won
Afghanistan,95/2,17.5,5.32,2,won,v Kenya,Sharjah,2013-02-10,lost
India,383/6,50,7.66,1,won,v Australia,Bengaluru,2013-02-11,lost
Australia,326,45.1,7.21,2,lost,v India,Bengaluru,2013-02-11,won
England,258,49.3,5.21,1,lost,v New Zealand,Hamilton,2013-02-17,lost
New Zealand,259/7,48.5,5.3,2,won,v England,Hamilton,2013-02-17,won
New Zealand,269,48.5,5.5,1,lost,v England,Napier,2013-02-20,lost
England,270/2,47.4,5.66,2,won,v New Zealand,Napier,2013-02-20,won
West Indies,337/4,50,6.74,1,won,v Zimbabwe,St George's,2013-02-22,lost
Zimbabwe,181/9,50,3.62,2,lost,v West Indies,St George's,2013-02-22,won
New Zealand,185,43.5,4.22,1,lost,v England,Auckland,2013-02-23,lost
England,186/5,37.3,4.96,2,won,v New Zealand,Auckland,2013-02-23,won
Zimbabwe,273/8,50,5.46,1,lost,v West Indies,St George's,2013-02-24,won
West Indies,274/3,49,5.59,2,won,v Zimbabwe,St George's,2013-02-24,lost
Zimbabwe,211/9,50,4.22,1,lost,v West Indies,St George's,2013-02-26,won
West Indies,215/5,46.2,4.64,2,won,v Zimbabwe,St George's,2013-02-26,lost
Pakistan,250,48.3,5.15,1,won,v India,Kolkata,2013-03-01,lost
India,165,48,3.43,2,lost,v Pakistan,Kolkata,2013-03-01,won
Australia,266/7,50,5.32,1,won,v West Indies,Perth,2013-03-02,lost
West Indies,212,38.1,5.55,2,lost,v Australia,Perth,2013-03-02,won
Bangladesh,269/8,50,5.38,1,won,v Zimbabwe,Bulawayo,2013-03-05,lost
Zimbabwe,148,32.1,4.6,2,lost,v Bangladesh,Bulawayo,2013-03-05,won
Zimbabwe,163,39.5,4.09,1,lost,v India,Bulawayo,2013-03-08,lost
India,167/3,34,4.91,2,won,v Zimbabwe,Bulawayo,2013-03-08,won
Ireland,269/7,50,5.38,1,lost,v England,Dublin (Malahide),2013-03-09,lost
England,274/4,43,6.37,2,won,v Ireland,Dublin (Malahide),2013-03-09,won
Australia,362/3,50,7.24,1,won,v Scotland,Edinburgh,2013-03-09,lost
Scotland,162,43.5,3.69,2,lost,v Australia,Edinburgh,2013-03-09,won
New Zealand,307/5,50,6.14,1,lost,v Bangladesh,Fatullah,2013-03-11,lost
Bangladesh,309/6,49.2,6.26,2,won,v New Zealand,Fatullah,2013-03-11,won
Canada,253/9,50,5.06,1,lost,v Kenya,ICCA Dubai,2013-03-13,won
Kenya,254/4,48,5.29,2,won,v Canada,ICCA Dubai,2013-03-13,lost
South Africa,191,43.2,4.4,1,lost,v Pakistan,Centurion,2013-03-15,won
Pakistan,192/4,39.2,4.88,2,won,v South Africa,Centurion,2013-03-15,lost
South Africa,343/5,50,6.86,1,won,v Pakistan,Johannesburg,2013-03-17,lost
Pakistan,309,48.1,6.41,2,lost,v South Africa,Johannesburg,2013-03-17,won
South Africa,234/9,50,4.68,1,lost,v Pakistan,Durban,2013-03-21,won
Pakistan,236/7,48.4,4.84,2,won,v South Africa,Durban,2013-03-21,lost
Bangladesh,259/8,50,5.18,1,lost,v Sri Lanka,Hambantota,2013-03-23,lost
Sri Lanka,238/2,35.4,6.67,2,won,v Bangladesh,Hambantota,2013-03-23,won
Pakistan,205,49.1,4.16,1,lost,v South Africa,Benoni,2013-03-24,won
South Africa,208/4,44,4.72,2,won,v Pakistan,Benoni,2013-03-24,lost
Bangladesh,DNB,0,0,0,n/r,v Sri Lanka,Hambantota,2013-03-25,won
Sri Lanka,33/0,5,6.6,1,n/r,v Bangladesh,Hambantota,2013-03-25,lost
Sri Lanka,302/9,50,6.04,1,lost,v Bangladesh,Pallekele,2013-03-28,won
Bangladesh,184/7,26,7.07,2,won,v Sri Lanka,Pallekele,2013-03-28,lost
Kenya,93,43.3,2.13,1,lost,v Afghanistan,Sharjah,2013-04-10,lost
Afghanistan,96/3,20.5,4.6,2,won,v Kenya,Sharjah,2013-04-10,won
Bangladesh,252/9,50,5.04,1,lost,v Zimbabwe,Bulawayo,2013-05-05,lost
Zimbabwe,253/4,47.5,5.28,2,won,v Bangladesh,Bulawayo,2013-05-05,won
England,287/6,50,5.74,1,won,v New Zealand,Nottingham,2013-05-06,lost
New Zealand,253,46.3,5.44,2,lost,v England,Nottingham,2013-05-06,won
India,311/7,50,6.22,1,won,v West Indies,Port of Spain,2013-05-07,lost
West Indies,171,34,5.02,2,lost,v India,Port of Spain,2013-05-07,won
South Africa,358/4,50,7.16,1,won,v India,Johannesburg,2013-05-12,lost
India,217,41,5.29,2,lost,v South Africa,Johannesburg,2013-05-12,won
Pakistan,231/7,50,4.62,1,won,v Scotland,Edinburgh,2013-05-17,won
Scotland,135,39.4,3.4,2,lost,v Pakistan,Edinburgh,2013-05-17,lost
Pakistan,266/5,47,5.65,1,tied,v Ireland,Dublin,2013-05-23,won
Ireland,275/5,47,5.85,2,tied,v Pakistan,Dublin,2013-05-23,lost
Ireland,229/9,50,4.58,1,lost,v Pakistan,Dublin,2013-05-26,lost
Pakistan,230/8,48.4,4.72,2,won,v Ireland,Dublin,2013-05-26,won
South Africa,341/3,50,6.82,1,won,v Netherlands,Amstelveen,2013-05-31,won
Netherlands,258/9,50,5.16,2,lost,v South Africa,Amstelveen,2013-05-31,lost
England,227/9,50,4.54,1,lost,v New Zealand,Lord's,2013-05-31,lost
New Zealand,231/5,46.5,4.93,2,won,v England,Lord's,2013-05-31,won
India,167,43.4,3.82,1,won,v Pakistan,Delhi,2013-06-01,won
Pakistan,157,48.5,3.21,2,lost,v India,Delhi,2013-06-01,lost
Australia,329/7,50,6.58,1,won,v West Indies,Canberra,2013-06-02,won
West Indies,290,47.3,6.1,2,lost,v Australia,Canberra,2013-06-02,lost
Scotland,199/8,50,3.98,1,lost,v Afghanistan,Sharjah,2013-06-03,won
Afghanistan,203/3,33.5,6,2,won,v Scotland,Sharjah,2013-06-03,lost
India,331/7,50,6.62,1,won,v South Africa,Cardiff,2013-06-06,lost
South Africa,305,50,6.1,2,lost,v India,Cardiff,2013-06-06,won
Scotland,223/9,50,4.46,1,lost,v Ireland,Belfast,2013-06-09,won
Ireland,225/9,49.5,4.51,2,won,v Scotland,Belfast,2013-06-09,lost
South Africa,259/8,50,5.18,1,won,v Pakistan,Abu Dhabi,2013-06-11,won
Pakistan,191,44.3,4.29,2,lost,v South Africa,Abu Dhabi,2013-06-11,lost
England,293/7,50,5.86,1,lost,v Sri Lanka,The Oval,2013-06-13,lost
Sri Lanka,297/3,47.1,6.29,2,won,v England,The Oval,2013-06-13,won
South Africa,230/6,31,7.41,1,tied,v West Indies,Cardiff,2013-06-14,lost
West Indies,190/6,26.1,7.26,2,tied,v South Africa,Cardiff,2013-06-14,won
Pakistan,165,39.4,4.15,1,lost,v India,Birmingham,2013-06-15,lost
India,102/2,19.1,5.32,2,won,v Pakistan,Birmingham,2013-06-15,won
England,169,23.3,7.19,1,won,v New Zealand,Cardiff,2013-06-16,lost
New Zealand,159/8,24,6.62,2,lost,v England,Cardiff,2013-06-16,won
Sri Lanka,253/8,50,5.06,1,won,v Australia,The Oval,2013-06-17,lost
Australia,233,42.3,5.48,2,lost,v Sri Lanka,The Oval,2013-06-17,won
South Africa,175,38.4,4.52,1,lost,v England,The Oval,2013-06-19,lost
England,179/3,37.3,4.77,2,won,v South Africa,The Oval,2013-06-19,won
Sri Lanka,181/8,50,3.62,1,lost,v India,Cardiff,2013-06-20,lost
India,182/2,35,5.2,2,won,v Sri Lanka,Cardiff,2013-06-20,won
India,129/7,20,6.45,1,won,v England,Birmingham,2013-06-23,lost
England,124/8,20,6.2,2,lost,v India,Birmingham,2013-06-23,won
Sri Lanka,208,48.3,4.28,1,lost,v West Indies,Kingston,2013-06-28,lost
West Indies,209/4,37.5,5.52,2,won,v Sri Lanka,Kingston,2013-06-28,won
Scotland,242/4,50,4.84,1,won,v Kenya,Aberdeen,2013-06-30,lost
Kenya,230,49.1,4.67,2,lost,v Scotland,Aberdeen,2013-06-30,won
India,229/7,50,4.58,1,lost,v West Indies,Kingston,2013-06-30,lost
West Indies,230/9,47.4,4.82,2,won,v India,Kingston,2013-06-30,won
Pakistan,170,48,3.54,1,lost,v West Indies,The Oval,2013-07-06,lost
West Indies,172/8,40.4,4.22,2,won,v Pakistan,The Oval,2013-07-06,won
Ireland,236,49.5,4.73,1,won,v Netherlands,Amstelveen,2013-07-07,won
Netherlands,148,36,4.11,2,lost,v Ireland,Amstelveen,2013-07-07,lost
Sri Lanka,219/8,41,5.34,1,won,v West Indies,Port of Spain,2013-07-07,lost
West Indies,190/9,41,4.63,2,lost,v Sri Lanka,Port of Spain,2013-07-07,won
Pakistan,224/9,50,4.48,1,won,v West Indies,Providence,2013-07-14,lost
West Indies,98,41,2.39,2,lost,v Pakistan,Providence,2013-07-14,won
West Indies,232/8,50,4.64,1,won,v Pakistan,Providence,2013-07-16,lost
Pakistan,195,47.5,4.07,2,lost,v West Indies,Providence,2013-07-16,won
Pakistan,229/6,50,4.58,1,tied,v West Indies,Gros Islet,2013-07-19,lost
West Indies,229/9,50,4.58,2,tied,v Pakistan,Gros Islet,2013-07-19,won
Sri Lanka,320/5,50,6.4,1,won,v South Africa,Colombo (RPS),2013-07-20,lost
South Africa,140,31.5,4.39,2,lost,v Sri Lanka,Colombo (RPS),2013-07-20,won
West Indies,261/7,49,5.32,1,lost,v Pakistan,Gros Islet,2013-07-21,lost
Pakistan,189/4,30,6.3,2,won,v West Indies,Gros Islet,2013-07-21,won
Sri Lanka,223/9,49.2,4.52,1,won,v South Africa,Colombo (RPS),2013-07-23,won
South Africa,104/5,21,4.95,2,lost,v Sri Lanka,Colombo (RPS),2013-07-23,lost
Zimbabwe,228/7,50,4.56,1,lost,v India,Harare,2013-07-24,lost
India,230/4,44.5,5.13,2,won,v Zimbabwe,Harare,2013-07-24,won
West Indies,242/7,50,4.84,1,lost,v Pakistan,Gros Islet,2013-07-24,lost
Pakistan,243/6,49.5,4.87,2,won,v West Indies,Gros Islet,2013-07-24,won
India,294/8,50,5.88,1,won,v Zimbabwe,Harare,2013-07-26,lost
Zimbabwe,236/9,50,4.72,2,lost,v India,Harare,2013-07-26,won
South Africa,223/7,50,4.46,1,won,v Sri Lanka,Pallekele,2013-07-26,won
Sri Lanka,167,43.2,3.85,2,lost,v South Africa,Pallekele,2013-07-26,lost
Zimbabwe,183,46,3.97,1,lost,v India,Harare,2013-07-28,lost
India,187/3,35.3,5.26,2,won,v Zimbabwe,Harare,2013-07-28,won
South Africa,238,48.4,4.89,1,lost,v Sri Lanka,Pallekele,2013-07-28,won
Sri Lanka,239/2,44,5.43,2,won,v South Africa,Pallekele,2013-07-28,lost
Sri Lanka,307/4,50,6.14,1,won,v South Africa,Colombo (RPS),2013-07-31,won
South Africa,179,43.5,4.08,2,lost,v Sri Lanka,Colombo (RPS),2013-07-31,lost
West Indies,220,49.4,4.42,1,lost,v Australia,Sydney,2013-08-02,won
Australia,221/5,44.5,4.92,2,won,v West Indies,Sydney,2013-08-02,lost
Scotland,259/9,50,5.18,1,lost,v Afghanistan,Sharjah,2013-08-03,lost
Afghanistan,261/5,48.4,5.36,2,won,v Scotland,Sharjah,2013-08-03,won
Bangladesh,247/9,50,4.94,1,lost,v Zimbabwe,Bulawayo,2013-08-05,lost
Zimbabwe,251/3,47.1,5.32,2,won,v Bangladesh,Bulawayo,2013-08-05,won
England,269/6,50,5.38,1,won,v Australia,Birmingham,2013-08-06,won
Australia,221/9,50,4.42,2,lost,v England,Birmingham,2013-08-06,lost
Australia,315/7,50,6.3,1,won,v England,Manchester,2013-08-09,lost
England,227,44.2,5.12,2,lost,v Australia,Manchester,2013-08-09,won
Scotland,165,49.3,3.33,1,lost,v Ireland,Belfast,2013-08-09,won
Ireland,166/3,33,5.03,2,won,v Scotland,Belfast,2013-08-09,lost
South Africa,266/5,50,5.32,1,won,v Pakistan,Abu Dhabi,2013-08-11,won
Pakistan,238,49.2,4.82,2,lost,v South Africa,Abu Dhabi,2013-08-11,lost
South Africa,280/6,49,5.71,1,won,v India,Durban,2013-08-12,lost
India,146,35.1,4.15,2,lost,v South Africa,Durban,2013-08-12,won
Pakistan,244/7,50,4.88,1,lost,v Zimbabwe,Harare,2013-08-27,won
Zimbabwe,246/3,48.2,5.08,2,won,v Pakistan,Harare,2013-08-27,lost
Netherlands,143,27.5,5.13,1,n/r,v Canada,King City (NW),2013-08-27,lost
Canada,62/1,10,6.2,2,n/r,v Netherlands,King City (NW),2013-08-27,won
Pakistan,299/4,50,5.98,1,won,v Zimbabwe,Harare,2013-08-29,lost
Zimbabwe,209,42.4,4.89,2,lost,v Pakistan,Harare,2013-08-29,won
Canada,67,24.4,2.71,1,lost,v Netherlands,King City (NW),2013-08-29,lost
Netherlands,70/1,10.4,6.56,2,won,v Canada,King City (NW),2013-08-29,won
Pakistan,260/6,50,5.2,1,won,v Zimbabwe,Harare,2013-08-31,lost
Zimbabwe,152,40,3.8,2,lost,v Pakistan,Harare,2013-08-31,won
Sri Lanka,138,37.5,3.64,1,lost,v New Zealand,Cardiff,2013-09-06,won
New Zealand,139/9,36.3,3.8,2,won,v Sri Lanka,Cardiff,2013-09-06,lost
Ireland,268/5,50,5.36,1,tied,v Netherlands,Amstelveen,2013-09-07,won
Netherlands,268/9,50,5.36,2,tied,v Ireland,Amstelveen,2013-09-07,lost
India,119/3,29,4.1,1,won,v Sri Lanka,Port of Spain,2013-09-07,lost
Sri Lanka,96,24.4,3.89,2,lost,v India,Port of Spain,2013-09-07,won
Australia,227,48.2,4.69,1,lost,v England,Cardiff,2013-09-14,lost
England,231/7,49.3,4.66,2,won,v Australia,Cardiff,2013-09-14,won
Australia,298,49.1,6.06,1,won,v England,Southampton,2013-09-16,won
England,249,48,5.18,2,lost,v Australia,Southampton,2013-09-16,lost
Australia,274/5,50,5.48,1,won,v West Indies,Melbourne,2013-10-02,lost
West Indies,257,49.5,5.15,2,lost,v Australia,Melbourne,2013-10-02,won
South Africa,315/4,50,6.3,1,won,v Pakistan,Bloemfontein,2013-10-03,lost
Pakistan,190,36.2,5.22,2,lost,v South Africa,Bloemfontein,2013-10-03,won
South Africa,234/9,50,4.68,1,won,v Pakistan,Birmingham,2013-10-06,won
Pakistan,167,45,3.71,2,lost,v South Africa,Birmingham,2013-10-06,lost
Sri Lanka,288/9,50,5.76,1,n/r,v New Zealand,Hambantota,2013-10-11,lost
New Zealand,13/01/19,4.2,3,2,n/r,v Sri Lanka,Hambantota,2013-10-11,won
Australia,304/8,50,6.08,1,won,v India,Pune,2013-10-13,won
India,232,49.4,4.67,2,lost,v Australia,Pune,2013-10-13,lost
Australia,359/5,50,7.18,1,lost,v India,Jaipur,2013-10-16,won
India,362/1,43.3,8.32,2,won,v Australia,Jaipur,2013-10-16,lost
India,303/9,50,6.06,1,lost,v Australia,Mohali,2013-10-19,lost
Australia,304/6,49.3,6.14,2,won,v India,Mohali,2013-10-19,won
Australia,295/8,50,5.9,1,n/r,v India,Ranchi,2013-10-23,lost
India,27/0,4.1,6.48,2,n/r,v Australia,Ranchi,2013-10-23,won
Bangladesh,265,49.5,5.31,1,won,v New Zealand,Dhaka,2013-10-29,lost
New Zealand,162,29.5,5.43,2,lost,v Bangladesh,Dhaka,2013-10-29,won
Australia,350/6,50,7,1,lost,v India,Nagpur,2013-10-30,lost
India,351/4,49.3,7.09,2,won,v Australia,Nagpur,2013-10-30,won
South Africa,183,49.5,3.67,1,won,v Pakistan,Sharjah,2013-10-30,won
Pakistan,182,46.3,3.91,2,lost,v South Africa,Sharjah,2013-10-30,lost
Australia,350/6,50,7,1,lost,v India,Nagpur,2013-10-30,lost
Bangladesh,247,49,5.04,1,won,v New Zealand,Dhaka,2013-10-31,won
New Zealand,207,46.4,4.43,2,lost,v Bangladesh,Dhaka,2013-10-31,lost
Australia,305/5,50,6.1,1,won,v Sri Lanka,Melbourne,2013-11-01,won
Sri Lanka,198,40,4.95,2,lost,v Australia,Melbourne,2013-11-01,lost
England,325/4,50,6.5,1,won,v India,Rajkot,2013-11-01,won
India,316/9,50,6.32,2,lost,v England,Rajkot,2013-11-01,lost
Canada,227/8,50,4.54,1,lost,v Kenya,ICCA Dubai,2013-11-03,won
Kenya,228/4,47.4,4.78,2,won,v Canada,ICCA Dubai,2013-11-03,lost
West Indies,233/9,50,4.66,1,lost,v India,The Oval,2013-11-06,lost
India,236/2,39.1,6.02,2,won,v West Indies,The Oval,2013-11-06,won
Sri Lanka,201,48.5,4.11,1,lost,v India,Port of Spain,2013-11-07,lost
India,203/9,49.4,4.08,2,won,v Sri Lanka,Port of Spain,2013-11-07,won
Australia,DNB,0,0,0,n/r,v England,Birmingham,2013-11-09,won
England,59/3,15.1,3.89,1,n/r,v Australia,Birmingham,2013-11-09,lost
South Africa,268/7,50,5.36,1,won,v Pakistan,Sharjah,2013-11-11,won
Pakistan,151,35.3,4.25,2,lost,v South Africa,Sharjah,2013-11-11,lost
India,DNB,0,0,0,n/r,v South Africa,Centurion,2013-11-12,lost
South Africa,301/8,50,6.02,1,n/r,v India,Centurion,2013-11-12,won
Sri Lanka,211/8,33,6.39,1,won,v New Zealand,Dambulla,2013-11-16,lost
New Zealand,126/6,25,5.04,2,lost,v Sri Lanka,Dambulla,2013-11-16,won
West Indies,211,48.5,4.32,1,lost,v India,Kochi,2013-11-21,won
India,212/4,35.2,6,2,won,v West Indies,Kochi,2013-11-21,lost
India,212/4,35.2,6,2,won,v West Indies,Kochi,2013-11-21,lost
India,288/7,50,5.76,1,lost,v West Indies,Visakhapatnam,2013-11-24,lost
West Indies,289/8,49.3,5.83,2,won,v India,Visakhapatnam,2013-11-24,won
Pakistan,218/9,50,4.36,1,won,v South Africa,Cape Town,2013-11-24,won
South Africa,195,48.1,4.04,2,lost,v Pakistan,Cape Town,2013-11-24,lost
West Indies,263/5,50,5.26,1,lost,v India,Kanpur,2013-11-27,lost
India,266/5,46.1,5.76,2,won,v West Indies,Kanpur,2013-11-27,won
Pakistan,262,45,5.82,1,won,v South Africa,Port Elizabeth,2013-11-27,lost
South Africa,261/6,45,5.8,2,lost,v Pakistan,Port Elizabeth,2013-11-27,won
Pakistan,179,46.5,3.82,1,lost,v South Africa,Centurion,2013-11-30,lost
South Africa,181/6,38.4,4.68,2,won,v Pakistan,Centurion,2013-11-30,won
Australia,243/8,50,4.86,1,n/r,v New Zealand,Birmingham,2013-12-06,won
New Zealand,51/2,15,3.4,2,n/r,v Australia,Birmingham,2013-12-06,lost
Sri Lanka,138/1,23,6,1,lost,v New Zealand,Hambantota,2013-12-11,won
New Zealand,203/6,23,8.82,2,won,v Sri Lanka,Hambantota,2013-12-11,lost
